SMILES,pIC50,mol,num_atoms,logP,formula
O=S(=O)(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,4.26,<rdkit.Chem.rdchem.Mol object at 0x7ff771f037d0>,25,4.159100000000002,C18H13N3O2S2
O=c1cc(-c2nc(-c3ccc(-c4cn(CCP(=O)(O)O)nn4)cc3)[nH]c2-c2ccc(F)cc2)cc[nH]1,4.34,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03840>,36,3.6743000000000015,C24H20FN6O4P
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCCO,4.53,<rdkit.Chem.rdchem.Mol object at 0x7ff771f038b0>,23,1.5361,C17H23N3O3
NCCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,4.56,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03920>,22,0.9509999999999998,C16H23N5O
CNC(=S)Nc1cccc(-c2cnc3ccccc3n2)c1,4.59,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03a00>,21,3.213000000000001,C16H14N4S
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)C1CC1,4.6,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03a70>,22,3.6453000000000015,C18H15N3O
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1ccco1,4.61,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03ae0>,24,4.142100000000002,C19H13N3O2
COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,4.67,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03b50>,26,4.566400000000004,C19H18ClN3O3
CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,4.68,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03bc0>,33,3.323500000000002,C22H16FN7O2S
COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,4.68,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03c30>,32,2.369,C22H22N6O3S
NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,4.69,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03ca0>,22,2.151,C17H18N4O
CS(=O)(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,4.73,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03d10>,21,2.6683000000000003,C15H13N3O2S
NCCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,4.73,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03d80>,23,1.5024999999999993,C17H24N4O2
N#CCC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,4.74,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03df0>,22,3.1489800000000017,C17H12N4O
O=C(CN1CCN(c2ccccc2)CC1)Nc1cccc(-c2cnc3ccccc3n2)c1,4.75,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03e60>,32,4.057500000000003,C26H25N5O
NS(=O)(=O)OCCn1cnc2c(Nc3ccc(F)cc3)nc(NCc3ccc(C4CCCCC4)cc3)nc21,4.78,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03ed0>,38,4.588900000000004,C26H30FN7O3S
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4cccc(F)c4)nc2-3)CC1,4.79,<rdkit.Chem.rdchem.Mol object at 0x7ff771f03f40>,26,4.122700000000002,C19H21ClFN5
COc1cccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c1,4.79,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34040>,27,3.992200000000002,C20H24ClN5O
O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1,4.82,<rdkit.Chem.rdchem.Mol object at 0x7ff771e340b0>,29,4.3804000000000025,C23H17ClN2O3
COc1ccc(-c2nc3[nH]cc(Cl)c(NC4CCN(C)CC4)c-3n2)cc1,4.83,<rdkit.Chem.rdchem.Mol object at 0x7ff771e34120>,26,3.744600000000003,C19H22ClN5O
